exchange,symbol,tf,signal_i,bar_ts,signal_ts,session_utc,vol_bucket,ctx_240_regime,direction,entry_model,target_model,management_model,entry_ts,entry,stop,target,risk_price,confirmation_model,gross_r,cost_r,net_r,mfe_r,mae_r,hit_1r,hit_target,hit_stop,exit_reason,bars_to_entry,bars_to_exit,invalid,global_ema_state,global_ema_fast,global_ema_slow,middle_ema_state,middle_ema_fast,middle_ema_slow,local_ema_state,local_ema_fast,local_ema_slow,trend_alignment,exit_ts,pnl_pct,risk_per_trade_pct,open_trades_before,setup_name
binance,AAVEUSDT,15,3501,2026-06-18 19:30:00+00:00,2026-06-18 19:45:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-18 19:45:00+00:00,72.94,70.64,77.53999999999999,2.299999999999997,choch_up,0.8956521739130455,0.025728695652173946,0.8699234782608716,1.5086956521739143,-0.039130434782610225,True,False,False,expiry,1,24,False,mixed,73.11380647544757,70.5904816290841,bearish,73.37652909256964,73.84970525218941,mixed,72.31618609382714,72.9692213482085,counter_global_or_structure,2026-06-19 01:45:00+00:00,0.0017398469565217433,0.002,0,ny_long_neutral_reversal_ce
binance,ETHUSDT,15,3501,2026-06-18 19:30:00+00:00,2026-06-18 19:45:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-18 19:45:00+00:00,1702.28,1670.56,1765.72,31.720000000000027,choch_up,0.20617906683480322,0.043015132408575,0.16316393442622823,0.5217528373266059,-0.09993694829760624,False,False,False,expiry,1,24,False,mixed,1746.4768661901626,1732.175309605181,bearish,1727.0864888887509,1746.6128805353994,mixed,1696.9290078526594,1716.5430996370833,counter_global_or_structure,2026-06-19 01:45:00+00:00,0.00032632786885245646,0.002,1,ny_long_neutral_reversal_ce
binance,LINKUSDT,15,3501,2026-06-18 19:30:00+00:00,2026-06-18 19:45:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-18 19:45:00+00:00,7.921,7.763,8.237000000000002,0.15800000000000036,choch_up,0.5063291139240443,0.04030886075949358,0.46602025316455076,0.7531645569620166,-0.06962025316455757,False,False,False,expiry,1,24,False,mixed,8.101558376148887,8.075201495391887,bearish,7.985306674126839,8.088864602677413,mixed,7.881496387512901,7.943807252915863,counter_global_or_structure,2026-06-19 01:45:00+00:00,0.0009320405063291016,0.002,2,ny_long_neutral_reversal_ce
binance,DOGEUSDT,15,3502,2026-06-18 19:45:00+00:00,2026-06-18 20:00:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-18 20:00:00+00:00,0.08285,0.08178,0.08498999999999997,0.0010699999999999876,choch_up,0.9065420560747885,0.06230654205607549,0.8442355140187131,0.9626168224299206,0.0,False,False,False,expiry,1,24,False,bearish,0.08582028032918357,0.08675246676086873,bearish,0.08412575901870681,0.08551181580872912,mixed,0.08278855703095256,0.08362482963712922,counter_global_or_structure,2026-06-19 02:00:00+00:00,0.0016884710280374263,0.002,3,ny_long_neutral_reversal_ce
binance,LINKUSDT,15,3571,2026-06-19 13:00:00+00:00,2026-06-19 13:15:00+00:00,ny,high,neutral,long,structure_confirmed_fvg_ce_retest,fixed_2r,be_after_half_target,2026-06-19 13:15:00+00:00,7.829000000000001,7.761,7.965000000000002,0.0680000000000005,choch_up,0.632352941176455,0.09235882352941108,0.539994117647044,1.7647058823529167,-0.1470588235294206,True,False,False,expiry,1,24,False,bearish,8.019118649464385,8.044181615038047,bearish,7.901166860121383,7.998152563975253,mixed,7.83424812097935,7.871464077506565,counter_global_or_structure,2026-06-19 19:15:00+00:00,0.0010799882352940879,0.002,0,ny_long_neutral_reversal_ce
binance,WLDUSDT,15,2302,2026-06-19 13:00:00+00:00,2026-06-19 13:15:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-19 13:15:00+00:00,0.6192,0.5931,0.6714,0.026100000000000012,choch_up,-0.2145593869731776,0.01889348659003831,-0.23345287356321592,0.6858237547892727,-0.340996168582376,False,False,False,expiry,1,24,False,mixed,0.6241828451740914,0.5761322185474644,bearish,0.6301846621393505,0.6331596045486547,mixed,0.6159073295508801,0.6260388936578333,counter_global_or_structure,2026-06-19 19:15:00+00:00,-0.00046690574712643184,0.002,1,ny_long_neutral_reversal_ce
binance,DOGEUSDT,15,3674,2026-06-20 14:45:00+00:00,2026-06-20 15:00:00+00:00,ny,normal,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-20 15:00:00+00:00,0.08367,0.08256,0.08589,0.0011099999999999999,none,-0.28828828828828906,0.06018738738738738,-0.34847567567567644,0.46846846846847445,-0.8018018018017911,False,False,False,expiry,1,24,False,bearish,0.08424968799144789,0.0856697904255556,mixed,0.08356304139899799,0.08381005167067308,mixed,0.08353736262379727,0.08358563095309293,counter_global_or_structure,2026-06-20 21:00:00+00:00,-0.0006969513513513529,0.002,0,ny_long_neutral_reversal_ce
binance,ETHUSDT,15,3674,2026-06-20 14:45:00+00:00,2026-06-20 15:00:00+00:00,ny,high,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-20 15:00:00+00:00,1732.76,1707.11,1784.0600000000002,25.65000000000009,none,-0.10799220272904374,0.053999999999999805,-0.16199220272904355,0.6382066276803142,-0.4970760233918111,False,False,False,expiry,1,24,False,mixed,1722.173337564353,1724.068829318764,mixed,1717.9162070946863,1718.8439018285592,bullish,1721.6672062842504,1719.168582578645,counter_global_or_structure,2026-06-20 21:00:00+00:00,-0.0003239844054580871,0.002,1,ny_long_neutral_reversal_ce
binance,LINKUSDT,15,3674,2026-06-20 14:45:00+00:00,2026-06-20 15:00:00+00:00,ny,high,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-20 15:00:00+00:00,7.931,7.818,8.157,0.11300000000000043,none,-0.25663716814159115,0.05604601769911483,-0.312683185840706,0.67256637168141,-0.6283185840707917,False,False,False,expiry,1,24,False,bearish,7.976060899096549,8.01955413043515,mixed,7.922929534598563,7.950728508273904,mixed,7.906548437087431,7.918651190699318,counter_global_or_structure,2026-06-20 21:00:00+00:00,-0.000625366371681412,0.002,2,ny_long_neutral_reversal_ce
binance,XRPUSDT,15,3674,2026-06-20 14:45:00+00:00,2026-06-20 15:00:00+00:00,ny,normal,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-20 15:00:00+00:00,1.1456,1.1336,1.1696,0.01200000000000001,none,-0.08333333333332409,0.07633999999999994,-0.159673333333324,0.7833333333333389,-0.6416666666666695,False,False,False,expiry,1,24,False,bearish,1.155564253716827,1.166055738756504,mixed,1.1428153634333946,1.1489796014935776,bullish,1.143402422623445,1.1432139595373205,counter_global_or_structure,2026-06-20 21:00:00+00:00,-0.000319346666666648,0.002,3,ny_long_neutral_reversal_ce
