ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2026-02-26 12:30:00+00:00,2026-02-26 14:45:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,2065.9,2053.46,2090.78,12.440000000000055,-1.3321382636655934,False,2.0,135.0,-0.2664276527331187,0.957395498392267,-2.513665594855293,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.099641479099678,-1.3321382636655934,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.33.
2026-03-09 00:15:00+00:00,2026-03-09 00:30:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1942.24,1955.2,1916.14,12.960000000000036,-1.2997283950617275,False,2.0138888888888764,15.0,-0.25994567901234555,0.0,-1.8441358024691377,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0899185185185183,-1.2997283950617275,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.30.
2026-03-11 16:30:00+00:00,2026-03-12 02:30:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,2068.4,2030.03,2145.1400000000003,38.37000000000012,-1.1078133958821994,False,2.0,600.0,-0.2215626791764399,0.44774563461036704,-1.101120667187904,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0323440187646598,-1.1078133958821994,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.11.
2026-03-13 09:00:00+00:00,2026-03-13 10:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,long,2104.15,2091.45,2129.5500000000006,12.700000000000273,1.6686377952755977,True,2.0,75.0,0.3337275590551195,2.264566929133791,-0.6385826771653507,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9005913385826794,1.6686377952755977,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=1.67.
2026-03-15 02:30:00+00:00,2026-03-15 22:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2103.88,2083.35,2144.9400000000005,20.5300000000002,1.7950433511933774,True,2.0,1170.0,0.3590086702386755,2.2274719922065063,-0.8543594739405647,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9385130053580133,1.7950433511933774,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.80.
2026-03-16 09:00:00+00:00,2026-03-17 09:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,long,2246.08,2170.02,2398.2,76.05999999999995,-0.05906074151985279,False,2.0,1440.0,-0.011812148303970559,1.8398632658427578,-0.004075729687088425,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-0.017718222455955834,-0.05906074151985279,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=-0.06.
2026-03-22 13:30:00+00:00,2026-03-22 21:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2076.38,2088.44,2052.26,12.059999999999945,1.6556583747927016,True,2.0,450.0,0.33113167495854035,3.8955223880597205,-0.7305140961857367,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.8966975124378105,1.6556583747927016,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=1.66.
2026-03-23 01:30:00+00:00,2026-03-23 03:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2054.88,2072.25,2020.1400000000003,17.36999999999989,-1.2366010362694315,False,2.0,90.0,-0.24732020725388631,0.46977547495682975,-1.0046056419113372,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0709803108808296,-1.2366010362694315,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.24.
2026-04-06 04:00:00+00:00,2026-04-06 09:15:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2127.7,2111.49,2160.12,16.210000000000036,1.7374830351634798,True,2.0,315.0,0.34749660703269597,2.881554595928435,-0.5342381246144253,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.921244910549044,1.7374830351634798,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.74.
2026-04-14 07:00:00+00:00,2026-04-14 14:45:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,long,2381.24,2361.0,2421.7199999999993,20.23999999999978,-1.2353003952569195,False,2.0,465.0,-0.2470600790513839,1.7371541501976624,-1.4446640316205581,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0705901185770759,-1.2353003952569195,Full accepted trade. setup=context_change; session=london; context=weak_or_range/range/no_shock; stressR=-1.24.
2026-04-15 16:00:00+00:00,2026-04-15 19:30:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,2340.39,2319.23,2382.7099999999996,21.159999999999854,1.7787911153119078,True,2.0,210.0,0.3557582230623816,2.09262759924388,-0.3133270321360917,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9336373345935722,1.7787911153119078,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.78.
2026-04-26 05:30:00+00:00,2026-04-26 18:00:00+00:00,ETHUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2328.0,2311.31,2361.38,16.690000000000055,1.7210305572198932,True,2.0,750.0,0.3442061114439786,2.276812462552419,-0.36129418813661957,target,accepted_trade,context_change,trend,directional,no_shock,expanded,1.916309167165968,1.7210305572198932,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.72.
