ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-11-06 10:00:00+00:00,2025-11-06 10:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,158.22,159.74,155.17999999999998,1.5200000000000102,-1.2081842105263143,False,2.0,30.0,-0.24163684210526287,0.0789473684210551,-1.0986842105263002,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0624552631578943,-1.2081842105263143,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.21.
2025-11-07 11:00:00+00:00,2025-11-07 16:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,152.1,157.85,140.6,5.75,-1.0529043478260869,False,2.0,330.0,-0.21058086956521738,0.3843478260869579,-1.029565217391307,stop,accepted_trade,context_change,trend,directional,no_shock,expanded,-1.015871304347826,-1.0529043478260869,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.05.
2025-11-14 09:15:00+00:00,2025-11-14 12:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,142.31,143.55,139.82999999999998,1.240000000000009,1.7704677419354855,True,2.0,165.0,0.3540935483870971,2.7822580645160992,-0.3629032258064398,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9311403225806456,1.7704677419354855,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=1.77.
2025-11-15 11:30:00+00:00,2025-11-15 13:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,140.47,141.33,138.74999999999997,0.8600000000000136,-1.326674418604646,False,2.0,90.0,-0.2653348837209292,0.3837209302325666,-1.2558139534883668,stop,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-1.0980023255813938,-1.326674418604646,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=-1.33.
2025-11-16 00:30:00+00:00,2025-11-16 02:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,139.17,140.29,136.92999999999998,1.1200000000000045,-1.2485178571428561,False,2.0,120.0,-0.24970357142857125,1.4553571428571328,-1.0892857142857089,stop,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-1.0745553571428568,-1.2485178571428561,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.25.
2025-11-21 04:30:00+00:00,2025-11-21 07:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,132.09,134.79,126.69000000000003,2.6999999999999886,1.9021555555555552,True,2.0,180.0,0.380431111111111,3.6185185185185373,-0.35925925925926033,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9706466666666667,1.9021555555555552,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.90.
2025-11-21 15:15:00+00:00,2025-11-21 16:15:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,126.82,128.2,124.06,1.3799999999999955,1.8162028985507241,True,2.0,60.0,0.36324057971014484,2.2753623188405774,-0.0,target,accepted_trade,context_change,transition,transition,no_shock,expanded,1.9448608695652172,1.8162028985507241,Full accepted trade. setup=context_change; session=ny; context=transition/transition/no_shock; stressR=1.82.
2025-12-01 08:00:00+00:00,2025-12-02 08:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,127.11,137.37,106.58999999999999,10.260000000000005,-0.024777777777777767,False,2.0,1440.0,-0.004955555555555553,0.37134502923976614,-0.14619883040935805,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-0.007433333333333328,-0.024777777777777767,Full accepted trade. setup=context_change; session=london; context=strong_trend/directional/no_shock; stressR=-0.02.
2025-12-14 09:15:00+00:00,2025-12-14 11:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,132.56,133.49,130.7,0.9300000000000068,1.7149247311827978,True,2.0,135.0,0.34298494623655956,2.1827956989247164,-0.0,target,accepted_trade,context_change,trend,directional,no_shock,expanded,1.9144774193548393,1.7149247311827978,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=1.71.
2025-12-14 16:30:00+00:00,2025-12-14 23:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,130.67,131.82,128.36999999999998,1.1500000000000057,1.7727478260869578,True,2.0,420.0,0.35454956521739156,2.26956521739128,-0.243478260869565,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9318243478260873,1.7727478260869578,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=1.77.
2025-12-17 08:00:00+00:00,2025-12-17 14:15:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,127.97,129.61,124.68999999999997,1.6400000000000148,-1.1560609756097546,False,2.0,375.0,-0.23121219512195093,1.1829268292682806,-1.024390243902434,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0468182926829264,-1.1560609756097546,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.16.
2025-12-18 00:15:00+00:00,2025-12-18 02:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,123.2,123.83,121.45,0.6299999999999955,-1.391111111111114,False,2.7777777777777977,105.0,-0.2782222222222228,0.19047619047619907,-1.1904761904761991,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.1173333333333342,-1.391111111111114,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.39.
2026-01-02 06:00:00+00:00,2026-01-02 16:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,128.04,126.8,130.51999999999998,1.2399999999999949,1.7934838709677412,True,2.0,630.0,0.3586967741935483,3.0161290322580845,-0.7661290322580585,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9380451612903222,1.7934838709677412,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.79.
2026-01-03 02:15:00+00:00,2026-01-03 05:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,132.8,132.03,134.34000000000003,0.7700000000000102,-1.3449350649350604,False,2.0,195.0,-0.26898701298701205,0.46753246753244215,-1.3506493506493593,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.1034805194805182,-1.3449350649350604,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.34.
2026-01-14 00:30:00+00:00,2026-01-15 00:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,145.32,142.55,150.85999999999996,2.769999999999982,-0.10492418772563246,False,2.0,1440.0,-0.020984837545126492,1.0722021660649885,-0.685920577617335,expiry,accepted_trade,context_change,trend,directional,no_shock,expanded,-0.03147725631768974,-0.10492418772563246,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-0.10.
2026-01-25 03:30:00+00:00,2026-01-25 16:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,126.56,127.44,124.80000000000001,0.8799999999999955,1.712363636363635,True,2.0,750.0,0.342472727272727,4.568181818181837,-0.625,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.9137090909090904,1.712363636363635,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.71.
2026-01-30 01:30:00+00:00,2026-01-30 14:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,114.11,117.39,107.55,3.280000000000001,-1.0695792682926828,False,2.0,780.0,-0.21391585365853655,0.3048780487804877,-1.039634146341462,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.020873780487805,-1.0695792682926828,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.07.
2026-01-31 13:30:00+00:00,2026-01-31 16:45:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,113.9,117.39,106.92000000000002,3.489999999999995,1.934727793696275,True,2.0,195.0,0.386945558739255,2.3123209169054495,-0.16618911174785075,target,accepted_trade,context_change,trend,directional,no_shock,expanded,1.9804183381088825,1.934727793696275,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.93.
2026-02-04 04:30:00+00:00,2026-02-04 05:45:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,98.69,99.58,96.91,0.8900000000000006,1.7782247191011238,True,2.0,75.0,0.35564494382022477,2.382022471910116,-0.0,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.933467415730337,1.7782247191011238,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=1.78.
2026-02-05 01:30:00+00:00,2026-02-05 03:00:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,92.06,92.86,90.46000000000001,0.7999999999999972,1.7698499999999993,True,2.0,90.0,0.35396999999999984,2.187500000000008,-0.7750000000000085,target,accepted_trade,context_change,transition,transition,no_shock,normal,1.9309549999999998,1.7698499999999993,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=1.77.
2026-02-05 05:15:00+00:00,2026-02-05 05:30:00+00:00,SOLUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,90.43,91.82,87.65000000000003,1.3899999999999864,-1.1301151079136704,False,2.0,15.0,-0.2260230215827341,0.17266187050360535,-1.129496402877704,stop,accepted_trade,context_change,transition,range_to_trend_transition,no_shock,normal,-1.039034532374101,-1.1301151079136704,Full accepted trade. setup=context_change; session=asia; context=transition/range_to_trend_transition/no_shock; stressR=-1.13.
