ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2026-02-24 09:15:00+00:00,2026-02-24 13:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,0.0912,0.09166,0.09028,0.0004600000000000021,1.603478260869567,True,2.0,255.0,0.3206956521739134,2.173913043478253,-0.6739130434782379,target,accepted_trade,context_change,weak_or_range,range,no_shock,normal,1.88104347826087,1.603478260869567,Full accepted trade. setup=context_change; session=london; context=weak_or_range/range/no_shock; stressR=1.60.
2026-03-03 08:30:00+00:00,2026-03-03 16:15:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,0.0901,0.0921,0.0861,0.0020000000000000018,-1.0900999999999998,False,2.0,465.0,-0.21801999999999996,0.6499999999999972,-1.0500000000000014,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.0270299999999999,-1.0900999999999998,Full accepted trade. setup=context_change; session=london; context=trend/directional/no_shock; stressR=-1.09.
2026-03-08 13:30:00+00:00,2026-03-08 19:15:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,0.0883,0.08934,0.08622,0.0010399999999999993,-1.1698076923076925,False,2.0,345.0,-0.23396153846153853,0.03846153846153692,-1.2499999999999967,stop,accepted_trade,context_change,trend,directional,no_shock,expanded,-1.0509423076923077,-1.1698076923076925,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.17.
2026-03-12 14:00:00+00:00,2026-03-12 14:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,0.0954,0.0941,0.09799999999999999,0.0012999999999999956,-1.1467692307692312,False,2.0,30.0,-0.22935384615384624,0.15384615384615877,-1.4615384615384657,stop,accepted_trade,context_change,trend,directional,no_shock,expanded,-1.0440307692307693,-1.1467692307692312,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.15.
2026-03-16 05:30:00+00:00,2026-03-17 05:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,0.1014,0.0972,0.10980000000000002,0.004200000000000009,-0.04828571428571418,False,2.0,1440.0,-0.009657142857142836,0.7142857142857133,-0.4880952380952394,expiry,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-0.014485714285714255,-0.04828571428571418,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-0.05.
2026-03-23 00:30:00+00:00,2026-03-23 01:15:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,0.0899,0.09073,0.08823999999999997,0.0008300000000000113,-1.2166265060240935,False,2.0,45.0,-0.24332530120481868,0.0,-1.2048192771084185,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.064987951807228,-1.2166265060240935,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.22.
2026-03-31 09:00:00+00:00,2026-03-31 13:45:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,0.09068,0.0915,0.08904,0.0008200000000000013,-1.2211707317073168,False,2.0,285.0,-0.24423414634146337,1.6951219512195124,-1.0731707317073225,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.066351219512195,-1.2211707317073168,Full accepted trade. setup=context_change; session=london; context=transition/transition/no_shock; stressR=-1.22.
2026-04-10 14:00:00+00:00,2026-04-10 19:00:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,0.09314,0.09231,0.0948,0.0008299999999999974,1.7755662650602402,True,2.0,300.0,0.35511325301204805,2.4578313253012127,-0.13253012048192692,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9326698795180721,1.7755662650602402,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=1.78.
2026-04-12 16:00:00+00:00,2026-04-12 20:30:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,0.09065,0.0913,0.08934999999999997,0.0006500000000000117,-1.278923076923072,False,2.0,270.0,-0.2557846153846144,0.21538461538461343,-1.5384615384615121,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0836769230769216,-1.278923076923072,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.28.
2026-04-13 04:45:00+00:00,2026-04-13 06:15:00+00:00,DOGEUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,0.0909,0.09147,0.08975999999999999,0.0005700000000000011,-1.318947368421052,False,2.0,90.0,-0.2637894736842104,0.245614035087721,-1.0175438596491404,stop,accepted_trade,context_change,transition,coiling_transition,no_shock,compressed,-1.0956842105263156,-1.318947368421052,Full accepted trade. setup=context_change; session=asia; context=transition/coiling_transition/no_shock; stressR=-1.32.
