ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-10-11 03:00:00+00:00,2025-10-11 04:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.3839,2.4168,2.3032,0.03289999999999971,-1.1449179331307004,False,2.4528875379939494,60.0,-0.22898358662614007,0.8237082066869479,-1.1033434650455958,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.04347537993921,-1.1449179331307004,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.14.
2025-10-11 05:15:00+00:00,2025-10-11 05:45:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.3929,2.4168,2.3451000000000004,0.02389999999999981,-1.2002426778242694,False,2.0,30.0,-0.24004853556485387,0.2468619246861951,-1.1631799163180028,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0600728033472808,-1.2002426778242694,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.20.
2025-10-12 05:00:00+00:00,2025-10-12 05:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.3541,2.3678,2.3266999999999998,0.013700000000000045,-1.343664233576641,False,2.0,15.0,-0.2687328467153282,0.0,-1.4087591240876096,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.1030992700729922,-1.343664233576641,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=-1.34.
2025-10-25 04:00:00+00:00,2025-10-25 10:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.5551,2.5312,2.6028999999999995,0.02389999999999981,-1.2138158995815918,False,2.0,360.0,-0.24276317991631835,0.6234309623430976,-1.0,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0641447698744775,-1.2138158995815918,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.21.
2025-10-26 04:00:00+00:00,2025-10-26 08:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.607,2.5932,2.6346000000000007,0.013800000000000257,1.6221739130434853,True,2.0,270.0,0.32443478260869707,2.195652173913002,-0.31884057971016827,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.8866521739130455,1.6221739130434853,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.62.
2025-10-26 12:45:00+00:00,2025-10-26 19:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,2.6371,2.6175,2.6763000000000003,0.019600000000000062,-1.269091836734693,False,2.0,375.0,-0.2538183673469386,0.7142857142857013,-1.367346938775514,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.080727551020408,-1.269091836734693,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.27.
2025-10-27 01:00:00+00:00,2025-10-27 03:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.6537,2.6353,2.6905000000000006,0.018400000000000194,-1.28844565217391,False,2.0,135.0,-0.257689130434782,0.8804347826086859,-1.217391304347824,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.086533695652173,-1.28844565217391,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=-1.29.
2025-11-03 12:00:00+00:00,2025-11-03 14:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2.4078,2.4205,2.3823999999999996,0.012700000000000156,-1.3791811023622,False,2.0,120.0,-0.27583622047244,0.8346456692913063,-1.4330708661417317,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.11375433070866,-1.3791811023622,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.38.
2025-11-04 12:30:00+00:00,2025-11-04 13:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2.2626,2.275,2.2378,0.012399999999999967,-1.3649354838709686,False,2.0,30.0,-0.27298709677419375,0.27419354838710314,-1.0403225806451748,stop,accepted_trade,context_change,trend,directional,no_shock,normal,-1.1094806451612906,-1.3649354838709686,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=-1.36.
2025-11-06 14:30:00+00:00,2025-11-06 16:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2.2711,2.3017,2.2099000000000006,0.03059999999999974,1.8515620915032667,True,2.0,120.0,0.37031241830065337,2.075163398692839,-0.35294117647058143,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.95546862745098,1.8515620915032667,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=1.85.
