pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
ETHUSDT,binance,5,50.0,40,10,3.0,channel,0.005,1,0.0,0.0,0.0,-1.167,-0.11,-0.0055,19.89,0.0055,0.11,0.0,135.0,
ETHUSDT,binance,15,50.0,20,10,2.0,atr,0.005,1,0.0,0.0,0.0,-1.177,-0.12,-0.0059,19.88,0.0059,0.12,0.0,45.0,
SOLUSDT,binance,15,50.0,40,10,2.0,atr,0.005,1,0.0,0.0,0.0,-0.141,-0.01,-0.0007,19.99,0.0007,0.01,0.0,330.0,
SOLUSDT,binance,15,50.0,40,10,3.0,atr,0.005,1,0.0,0.0,0.0,-0.094,-0.01,-0.0004,19.99,0.0004,0.01,0.0,330.0,
BNBUSDT,binance,5,50.0,20,10,2.0,channel,0.005,7,0.0,0.0,0.0,-0.645,-0.38,-0.0191,19.62,0.0191,0.38,-33.935,57.1,
BNBUSDT,binance,5,50.0,20,10,3.0,channel,0.005,7,0.0,0.0,0.0,-0.645,-0.38,-0.0191,19.62,0.0191,0.38,-33.935,57.1,
BNBUSDT,binance,5,50.0,40,10,2.0,channel,0.005,6,0.0,0.0,0.0,-0.83,-0.43,-0.0215,19.57,0.0215,0.43,-40.357,44.2,
BNBUSDT,binance,5,50.0,40,10,3.0,channel,0.005,6,0.0,0.0,0.0,-0.83,-0.43,-0.0215,19.57,0.0215,0.43,-40.357,44.2,
BTCUSDT,binance,5,50.0,20,10,2.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,5,50.0,20,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,5,50.0,20,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
