pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
DOGEUSDT,binance,15,50.0,20,10,2.0,channel,0.005,205,0.2976,0.687,1.622,-0.153,-2.95,-0.1475,17.05,0.1718,3.48,-2.226,350.9,
DOGEUSDT,binance,15,50.0,20,10,3.0,channel,0.005,205,0.2976,0.687,1.622,-0.153,-2.95,-0.1475,17.05,0.1718,3.48,-2.226,350.9,
SOLUSDT,binance,5,50.0,40,10,2.0,channel,0.005,495,0.3091,0.686,1.533,-0.135,-5.53,-0.2763,14.47,0.3195,6.54,-1.981,114.9,
SOLUSDT,binance,5,50.0,40,10,3.0,channel,0.005,495,0.3091,0.686,1.533,-0.135,-5.53,-0.2763,14.47,0.3195,6.54,-1.981,114.9,
BTCUSDT,binance,5,50.0,20,10,2.0,atr,0.005,76,0.2763,0.684,1.792,-0.374,-2.1,-0.1048,17.9,0.1529,3.09,-2.172,84.5,
DOGEUSDT,binance,5,50.0,20,10,2.0,atr,0.005,799,0.2591,0.676,1.934,-0.196,-11.14,-0.5571,8.86,0.6127,12.73,-1.639,102.3,
DOGEUSDT,binance,15,50.0,20,10,3.0,atr,0.005,226,0.2876,0.673,1.666,-0.162,-3.37,-0.1687,16.63,0.1864,3.76,-2.367,347.5,
BNBUSDT,binance,15,50.0,20,10,2.0,atr,0.005,289,0.2803,0.672,1.726,-0.224,-4.61,-0.2307,15.39,0.2381,4.76,-1.966,287.7,
BNBUSDT,binance,15,50.0,40,10,2.0,atr,0.005,196,0.2908,0.672,1.638,-0.197,-3.2,-0.1602,16.8,0.1821,3.64,-1.574,285.3,
BNBUSDT,binance,15,50.0,40,10,2.0,channel,0.005,155,0.3226,0.672,1.412,-0.1,-1.74,-0.0871,18.26,0.1063,2.13,-1.132,336.4,
BNBUSDT,binance,15,50.0,40,10,3.0,channel,0.005,155,0.3226,0.672,1.412,-0.1,-1.74,-0.0871,18.26,0.1063,2.13,-1.132,336.4,
XRPUSDT,binance,5,50.0,40,10,2.0,atr,0.005,557,0.2675,0.67,1.835,-0.233,-9.78,-0.489,10.22,0.5236,10.97,-1.969,95.7,
XRPUSDT,binance,15,50.0,20,10,2.0,channel,0.005,222,0.3018,0.668,1.545,-0.157,-3.23,-0.1613,16.77,0.1815,3.63,-2.329,350.9,
XRPUSDT,binance,15,50.0,20,10,3.0,channel,0.005,222,0.3018,0.668,1.545,-0.157,-3.23,-0.1613,16.77,0.1815,3.63,-2.329,350.9,
DOGEUSDT,binance,15,50.0,40,10,2.0,atr,0.005,173,0.2428,0.666,2.078,-0.214,-3.44,-0.1719,16.56,0.1768,3.56,-2.346,318.1,
SOLUSDT,binance,5,50.0,20,10,2.0,channel,0.005,706,0.3059,0.664,1.505,-0.147,-8.1,-0.4051,11.9,0.4189,8.5,-2.066,115.6,
SOLUSDT,binance,5,50.0,20,10,3.0,channel,0.005,706,0.3059,0.664,1.505,-0.147,-8.1,-0.4051,11.9,0.4189,8.5,-2.066,115.6,
XRPUSDT,binance,5,50.0,40,10,3.0,atr,0.005,524,0.292,0.664,1.61,-0.181,-7.68,-0.3841,12.32,0.4193,8.76,-2.142,112.5,
DOGEUSDT,binance,15,50.0,20,10,2.0,atr,0.005,266,0.2594,0.661,1.888,-0.218,-5.12,-0.2558,14.88,0.2803,5.67,-2.374,301.1,
XRPUSDT,binance,5,50.0,40,10,2.0,channel,0.005,503,0.2962,0.656,1.557,-0.156,-6.56,-0.328,13.44,0.3548,7.28,-2.24,116.1,
XRPUSDT,binance,5,50.0,40,10,3.0,channel,0.005,503,0.2962,0.656,1.557,-0.156,-6.56,-0.328,13.44,0.3548,7.28,-2.24,116.1,
BNBUSDT,binance,5,50.0,40,10,2.0,atr,0.005,618,0.2638,0.644,1.797,-0.266,-10.31,-0.5155,9.69,0.5215,10.56,-2.13,92.1,
