symbol,setup,stop_tf,entry_ts,direction,session_utc,entry,sl,tp,stop_pct,target_pct,planned_rr,gross_r,base_cost_r,stress_cost_r,base_net_r,stress_net_r,mfe_r,mae_r,bars_to_exit,exit_kind,trend_strength,consolidation_state,shock_alignment,compression_state,pre_range_atr_16,adx_14,plus_di_14,minus_di_14,dmi_alignment,vwap_alignment,ema_alignment,vwap_trend_overridden,vwap_price,ema21_price,ema21_slope,exchange,net_r,hit_stop,exit_reason,target_model,management_model,entry_model,stop,target,exit_ts,pnl_pct,risk_per_trade_pct,open_trades_before
ETHUSDT,context_change,15,2026-03-09 00:15:00+00:00,short,asia,1942.24,1955.2,1916.14,0.6672707801301608,1.3438092099843433,2.0138888888888764,-1.0,0.08991851851851826,0.29972839506172755,-1.0899185185185183,-1.2997283950617275,0.0,-1.8441358024691377,1,stop,trend,directional,no_shock,normal,4.0658791694853464,25.200897861693868,16.193994900348706,29.375032523286684,aligned,flat,aligned,False,1942.2360279355767,1945.070980766235,-1.1913180675949206,binance,-1.2997283950617275,True,stop,fixed_2.01389r,hold_to_target_stop_or_expiry,context_change,1955.2,1916.14,2026-03-09 00:30:00+00:00,-0.003249320987654319,0.0025,0
BTCUSDT,context_change,15,2026-03-15 02:00:00+00:00,long,asia,71305.29,70858.82,72198.22999999997,0.6261386777895254,1.2522773555790507,2.0,2.0,0.0958254171612903,0.319418057204301,1.9041745828387098,1.680581942795699,2.052948686361971,-0.313302125562735,78,target,strong_trend,directional,no_shock,normal,3.654344093165554,42.77267217409727,30.38128079278735,13.65901360146301,aligned,aligned,aligned,False,71082.36152206194,70958.25039991485,47.806800247970386,binance,1.680581942795699,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,70858.82,72198.22999999997,2026-03-15 21:30:00+00:00,0.004201454856989247,0.0025,0
XRPUSDT,context_change,15,2026-03-15 02:00:00+00:00,long,asia,1.4143,1.4013,1.4402999999999997,0.9191826345188362,1.8383652690376724,2.0,2.0,0.0652753846153851,0.21758461538461701,1.934724615384615,1.782415384615383,3.353846153846186,-0.7307692307692242,82,target,strong_trend,directional,no_shock,normal,3.8594594594594445,72.83431239479154,31.711711711711903,7.567567567567459,aligned,aligned,aligned,False,1.4069804798508416,1.4015820485974815,0.002691836510751333,binance,1.782415384615383,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,1.4013,1.4402999999999997,2026-03-15 22:30:00+00:00,0.0044560384615384575,0.0025,1
ETHUSDT,context_change,15,2026-03-15 02:30:00+00:00,long,asia,2103.88,2083.35,2144.9400000000005,0.9758161111850581,1.9516322223701161,2.0,2.0,0.06148699464198673,0.20495664880662248,1.9385130053580133,1.7950433511933774,2.2274719922065063,-0.8543594739405647,78,target,trend,directional,no_shock,normal,2.8178240740740503,35.109966949554305,33.483796296296596,14.108796296296346,aligned,aligned,aligned,False,2092.0475960924027,2089.9893460638746,2.6854541345433063,binance,1.7950433511933774,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,2083.35,2144.9400000000005,2026-03-15 22:00:00+00:00,0.004487608377983444,0.0025,2
DOGEUSDT,context_change,15,2026-03-16 05:30:00+00:00,long,asia,0.1014,0.0972,0.10980000000000002,4.142011834319535,8.28402366863907,2.0,0.0,0.014485714285714255,0.04828571428571418,-0.014485714285714255,-0.04828571428571418,0.7142857142857133,-0.4880952380952394,96,expiry,strong_trend,directional,no_shock,expanded,5.966990291262133,48.24053568296459,48.44660194174758,11.553398058252377,aligned,aligned,aligned,False,0.09870117225387325,0.09930295548037957,0.0010077296496734528,binance,-0.04828571428571418,False,expiry,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.0972,0.10980000000000002,2026-03-17 05:30:00+00:00,-0.00012071428571428545,0.0025,0
BNBUSDT,context_change,15,2026-03-17 02:30:00+00:00,long,asia,684.08,676.19,699.86,1.1533738744006528,2.3067477488013055,2.0,-1.0,0.05202129277566549,0.1734043092522183,-1.0520212927756656,-1.1734043092522184,0.06970849176171806,-1.103929024081122,4,stop,transition,transition,no_shock,normal,3.1724716743600467,18.421747391918306,19.05161561057481,17.85564414603421,aligned,flat,aligned,False,682.9928377053286,681.6594391096882,0.68044462914429,binance,-1.1734043092522184,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,676.19,699.86,2026-03-17 03:30:00+00:00,-0.002933510773130546,0.0025,1
BTCUSDT,context_change,15,2026-03-23 00:00:00+00:00,short,asia,67957.48,68474.0,66924.43999999999,0.760063498528792,1.520126997057584,2.0,-1.0,0.07894077286455446,0.26313590954851496,-1.0789407728645544,-1.2631359095485148,0.9918299388213406,-1.215132037481597,12,stop,strong_trend,directional,no_shock,normal,3.4230613012410296,43.52398588297213,15.80895073335783,27.37935851286693,aligned,flat,aligned,False,67953.55666666666,68177.45841611217,-73.86152082064655,binance,-1.2631359095485148,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,68474.0,66924.43999999999,2026-03-23 03:00:00+00:00,-0.0031578397738712873,0.0025,0
DOGEUSDT,context_change,15,2026-03-23 00:30:00+00:00,short,asia,0.0899,0.09073,0.08823999999999997,0.9232480533926711,1.8464961067853423,2.0,-1.0,0.06498795180722802,0.21662650602409342,-1.064987951807228,-1.2166265060240935,0.0,-1.2048192771084185,3,stop,strong_trend,directional,no_shock,normal,3.4339622641509235,41.880117500438196,22.075471698113233,36.03773584905668,aligned,aligned,flat,False,0.09041189665174255,0.09039285644286758,-5.522378693510743e-05,binance,-1.2166265060240935,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.09073,0.08823999999999997,2026-03-23 01:15:00+00:00,-0.0030415662650602336,0.0025,1
SOLUSDT,context_change,15,2026-03-25 00:00:00+00:00,long,asia,91.22,90.17,93.32,1.1510633632975193,2.3021267265950387,2.0,2.0,0.05212571428571442,0.1737523809523814,1.9478742857142857,1.8262476190476187,2.066666666666674,-0.3333333333333288,46,target,strong_trend,directional,no_shock,expanded,7.972665148063755,58.63887245702199,37.12984054669713,3.644646924829391,aligned,flat,aligned,False,91.09666666666665,90.27621288326895,0.40928847263545265,binance,1.8262476190476187,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,90.17,93.32,2026-03-25 11:30:00+00:00,0.004565619047619047,0.0025,0
ETHUSDT,context_change,15,2026-04-06 04:00:00+00:00,long,asia,2127.7,2111.49,2160.12,0.7618555247450316,1.5237110494900632,2.0,2.0,0.07875508945095601,0.2625169648365201,1.921244910549044,1.7374830351634798,2.881554595928435,-0.5342381246144253,21,target,strong_trend,directional,no_shock,normal,3.907331975560083,71.6782640317997,27.18940936863528,12.198137910968896,aligned,flat,aligned,False,2125.8864439860545,2117.3117273203097,7.884222353676705,binance,1.7374830351634798,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,2111.49,2160.12,2026-04-06 09:15:00+00:00,0.0043437075879087,0.0025,0
DOGEUSDT,context_change,15,2026-04-13 04:45:00+00:00,short,asia,0.0909,0.09147,0.08975999999999999,0.6270627062706283,1.2541254125412566,2.0,-1.0,0.0956842105263156,0.31894736842105204,-1.0956842105263156,-1.318947368421052,0.245614035087721,-1.0175438596491404,6,stop,transition,coiling_transition,no_shock,compressed,2.1101449275362225,22.055111020485633,10.43478260869573,14.202898550724498,aligned,aligned,flat,False,0.09115683175950874,0.09108966393739054,-1.24717304162969e-05,binance,-1.318947368421052,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.09147,0.08975999999999999,2026-04-13 06:15:00+00:00,-0.00329736842105263,0.0025,0
XRPUSDT,context_change,15,2026-04-16 00:30:00+00:00,long,asia,1.3962,1.3849,1.4188000000000003,0.8093396361552848,1.6186792723105696,2.0,2.0,0.0741345132743357,0.24711504424778574,1.9258654867256644,1.7528849557522141,2.345132743362811,-0.5752212389380639,35,target,transition,transition,no_shock,normal,4.244680851063833,21.284744076570917,34.30851063829777,25.664893617021505,aligned,aligned,flat,False,1.3909487262053917,1.389053375366654,0.0009923258049038264,binance,1.7528849557522141,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,1.3849,1.4188000000000003,2026-04-16 09:15:00+00:00,0.0043822123893805355,0.0025,0
SOLUSDT,context_change,15,2026-04-22 00:00:00+00:00,long,asia,86.12,84.95,88.46000000000001,1.3585694379934994,2.7171388759869988,2.0,2.0,0.0441641025641025,0.147213675213675,1.9558358974358976,1.852786324786325,2.358974358974348,-0.11111111111111921,36,target,weak_or_range,volatile_range,no_shock,expanded,5.319999999999947,17.940389450171313,26.22222222222189,11.777777777777729,aligned,flat,aligned,False,86.08666666666666,85.47284416267813,0.22609311024334033,binance,1.852786324786325,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,84.95,88.46000000000001,2026-04-22 09:00:00+00:00,0.004631965811965812,0.0025,0
BNBUSDT,context_change,15,2026-04-22 02:00:00+00:00,long,asia,635.28,628.96,647.9199999999998,0.9948369223019671,1.9896738446039341,2.0,2.0,0.06031139240506389,0.2010379746835463,1.939688607594936,1.7989620253164538,3.1028481012658564,-0.001582278481011235,46,target,strong_trend,directional,no_shock,normal,4.7985568250150425,41.66077883053321,31.9302465423927,6.313890559229438,aligned,aligned,aligned,False,633.2099925605281,631.8468673432898,0.7881348182480679,binance,1.7989620253164538,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,628.96,647.9199999999998,2026-04-22 13:30:00+00:00,0.004497405063291135,0.0025,1
BTCUSDT,context_change,15,2026-04-22 02:00:00+00:00,long,asia,76696.3,76170.0,77748.90000000001,0.6862130246178797,1.3724260492357594,2.0,2.0,0.08743640509215227,0.29145468364050764,1.9125635949078477,1.7085453163594924,3.3273798213946177,-0.0,13,target,trend,directional,no_shock,expanded,5.805562158307638,39.84929596359585,36.80600359944334,8.682807565621927,aligned,aligned,aligned,False,76384.33325261329,76052.32305172848,180.12366668923642,binance,1.7085453163594924,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,76170.0,77748.90000000001,2026-04-22 05:15:00+00:00,0.004271363290898731,0.0025,2
ETHUSDT,context_change,15,2026-04-26 05:30:00+00:00,long,asia,2328.0,2311.31,2361.38,0.7169243986254319,1.4338487972508638,2.0,2.0,0.08369083283403207,0.27896944278010694,1.916309167165968,1.7210305572198932,2.276812462552419,-0.36129418813661957,50,target,trend,directional,no_shock,expanded,6.270791938688684,36.18254907165231,42.0806131138241,14.518875957990554,aligned,aligned,aligned,False,2320.860349052803,2316.7500167775647,4.086037257128737,binance,1.7210305572198932,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,2311.31,2361.38,2026-04-26 18:00:00+00:00,0.004302576393049733,0.0025,0
SOLUSDT,context_change,15,2026-04-27 01:30:00+00:00,long,asia,87.57,86.5,89.70999999999998,1.2218796391458187,2.4437592782916373,2.0,-1.0,0.04910467289719657,0.16368224299065523,-1.0491046728971967,-1.1636822429906553,0.4766355140186994,-1.5887850467289715,15,stop,transition,transition,no_shock,normal,4.4568345323741,19.62065270011348,31.47482014388496,16.54676258992812,aligned,aligned,aligned,False,87.23099087505396,86.94957199663102,0.23852850033676987,binance,-1.1636822429906553,True,stop,fixed_2r,hold_to_target_stop_or_expiry,context_change,86.5,89.70999999999998,2026-04-27 05:15:00+00:00,-0.002909205607476638,0.0025,0
BTCUSDT,context_change,15,2026-05-06 03:30:00+00:00,long,asia,81499.9,81000.0,82499.69999999998,0.6133749857361717,1.2267499714723433,2.0,2.0,0.09781944388877888,0.3260648129625963,1.902180556111221,1.6739351870374037,2.658131626325302,-0.9887977595518986,31,target,trend,directional,no_shock,normal,4.474270111321199,26.831291516805088,37.516128064332506,14.603774717196691,aligned,aligned,aligned,False,81204.26786158903,81259.80880394386,86.155656104238,binance,1.6739351870374037,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,81000.0,82499.69999999998,2026-05-06 11:15:00+00:00,0.004184837967593509,0.0025,0
DOGEUSDT,context_change,15,2026-05-06 05:00:00+00:00,long,asia,0.1153,0.11442,0.11706000000000001,0.7632263660017397,1.5264527320034793,2.0,2.0,0.07861363636363584,0.2620454545454528,1.9213863636363642,1.737954545454547,2.193181818181805,-0.8749999999999862,9,target,trend,directional,no_shock,normal,3.089874857792935,26.44749074522556,23.43572241183196,16.26848691695105,aligned,flat,flat,False,0.11500928112119883,0.11510207417012702,0.00010295869839573035,binance,1.737954545454547,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.11442,0.11706000000000001,2026-05-06 07:15:00+00:00,0.004344886363636368,0.0025,1
SOLUSDT,context_change,15,2026-05-06 05:00:00+00:00,long,asia,86.84,86.34,87.84,0.5757715338553662,1.1515430677107323,2.0,2.0,0.104208,0.34736,1.895792,1.6526399999999999,2.0600000000000023,-0.14000000000001478,9,target,trend,directional,no_shock,normal,4.014705882352935,27.416334192155226,24.01960784313728,24.01960784313693,aligned,flat,aligned,False,86.79048008823057,86.80628009769069,0.077357337558837,binance,1.6526399999999999,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,86.34,87.84,2026-05-06 07:15:00+00:00,0.0041316,0.0025,2
SOLUSDT,context_change,15,2026-05-09 01:30:00+00:00,long,asia,93.15,92.16,95.13000000000002,1.0628019323671596,2.125603864734319,2.0,0.0,0.05645454545454493,0.18818181818181648,-0.05645454545454493,-0.18818181818181648,1.0202020202020017,-0.8383838383838433,96,expiry,transition,transition,no_shock,normal,3.7205479452055097,20.744363950976826,29.31506849315073,17.80821917808225,aligned,aligned,aligned,False,92.60803467637217,92.20329412914575,0.2557114012152084,binance,-0.18818181818181648,False,expiry,fixed_2r,hold_to_target_stop_or_expiry,context_change,92.16,95.13000000000002,2026-05-10 01:30:00+00:00,-0.0004704545454545412,0.0025,0
BNBUSDT,context_change,15,2026-05-13 00:30:00+00:00,long,asia,668.33,664.93,675.1300000000002,0.5087307168614443,1.0174614337228887,2.0,2.0,0.11794058823529095,0.3931352941176366,1.8820594117647091,1.6068647058823635,2.6176470588234526,-0.32941176470587485,2,target,strong_trend,directional,no_shock,normal,2.4564564564564333,51.048236298524465,30.158730158730013,16.38781638781632,aligned,aligned,aligned,False,666.780789916842,665.2559004621993,0.7778065088225503,binance,1.6068647058823635,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,664.93,675.1300000000002,2026-05-13 01:00:00+00:00,0.004017161764705909,0.0025,0
DOGEUSDT,context_change,15,2026-05-13 04:00:00+00:00,long,asia,0.11141,0.1108,0.11263,0.5475271519612238,1.0950543039224476,2.0,2.0,0.10958360655737713,0.3652786885245905,1.8904163934426228,1.6347213114754096,2.3114754098360817,-0.2622950819672027,2,target,strong_trend,directional,no_shock,normal,4.30592105263158,47.839166443634724,34.37499999999998,10.032894736842344,aligned,aligned,flat,False,0.1111726191067393,0.11098761568695448,0.00030257784695737755,binance,1.6347213114754096,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,0.1108,0.11263,2026-05-13 04:30:00+00:00,0.004086803278688524,0.0025,0
ETHUSDT,context_change,15,2026-05-15 05:00:00+00:00,short,asia,2265.11,2278.68,2237.9700000000007,0.5990879030157348,1.1981758060314696,2.0,2.0,0.10015224760501319,0.333840825350044,1.8998477523949868,1.666159174649956,2.126750184229974,-0.06927044952100772,2,target,strong_trend,directional,no_shock,normal,4.229592287963185,49.09196155032869,5.9432210135312555,33.05916688776869,aligned,aligned,aligned,False,2275.4067045221864,2274.7527038791923,-5.380725145286306,binance,1.666159174649956,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,2278.68,2237.9700000000007,2026-05-15 05:30:00+00:00,0.00416539793662489,0.0025,0
BNBUSDT,context_change,15,2026-05-18 04:00:00+00:00,short,asia,644.82,648.68,637.1000000000003,0.5986166682174715,1.197233336434943,2.0,2.0,0.10023108808290415,0.3341036269430139,1.899768911917096,1.6658963730569862,2.2538860103627645,-0.24352331606216715,41,target,strong_trend,directional,no_shock,normal,3.5269681742043435,62.31697824652504,14.639865996649919,22.546063651591332,aligned,aligned,aligned,False,645.9040252092072,646.7641972407105,-1.372910857426291,binance,1.6658963730569862,False,target,fixed_2r,hold_to_target_stop_or_expiry,context_change,648.68,637.1000000000003,2026-05-18 14:15:00+00:00,0.004164740932642466,0.0025,0
